Text,Sentiment
This is absolutely wonderful!,positive
i will call you tomorrow,positive
The weather today is mild.,neutral
The meeting is scheduled for 3 PM.,neutral
Please hand in your reports by Friday.,neutral
The book is on the table.,neutral
The car is blue.,neutral
i hate love.,negative
todays weather doesnt look good,negative
csk looser,negative
mi winner,positive
i like mangos,positive
ML is my favourite subject,positive
apple is my favourite fruit,positive
i like trees,positive
rainy is my favourite season,positive
worst.,negative
not good.,negative
go to hell.,negative
today is sunay and i hate sunday.,negative
im going to pune,neutral
This beautiful day is absolutely ruined.,negative
The bright sunshine only highlights my sadness.,negative
"What a lovely view, it's such a pity I'm so upset.",negative
The cheerful music makes me feel even more alone.,negative
"Such a wonderful opportunity, wasted on me.",negative
The kindness of others just makes my bitterness grow.,negative
It's a perfect day to be miserable.,negative
i will call you tomorrow,positive
bad,negative
piyush is bad boy,neutral
bitch,negative
fuck,negative
good,positive
All this joy is so irritating.,negative
"The world is so full of beauty, and I can't enjoy any of it.",negative
"What a fantastic achievement, overshadowed by my regret.",negative
The success is meaningless in my current state.,negative
This delicious food can't fill the emptiness inside.,negative
The laughter around me is deafening in my sorrow.,negative
"Such a heartwarming story, but it leaves me cold.",negative
The vibrant colors only remind me of how dull my life is.,negative
"What a peaceful moment, shattered by my anxiety.",negative
The generosity of spirit is lost on my cynical heart.,negative
"It's a blessing, but I can't appreciate it.",negative
The feeling of accomplishment is tainted by guilt.,negative
All this love just amplifies my loneliness.,negative
The excitement is exhausting.,negative
This comfort feels like a cage.,negative
The support is a reminder of my weakness.,negative
"What a gift, given to someone undeserving.",negative
The praise is hollow and meaningless.,negative
This freedom is terrifying.,negative
The hope is a cruel illusion.,negative
The peace is constantly disturbed by my thoughts.,negative
"What a miracle, wasted on my despair.",negative
The celebration is a mockery of my pain.,negative
"The beautiful flowers are dying, just like my spirit.",negative
The sweet taste turns bitter in my mouth.,negative
The warmth of the sun feels like a burning judgment.,negative
"What a charming scene, tainted by my dark mood.",negative
The promise of a better tomorrow is a lie.,negative
The gentle breeze carries whispers of my failures.,negative
The vibrant life around me is a stark contrast to my emptiness.,negative
"What a precious moment, ruined by my negativity.",negative
The prospect of happiness is a distant memory.,negative
The beauty of nature mocks my inner turmoil.,negative
i hate love.,negative
The joy in the air is suffocating.,negative
This amazing opportunity feels like a trap.,negative
The kindness of strangers is a painful reminder of lost connections.,negative
What a perfect day to feel utterly broken.,negative
The hope for the future is a cruel joke.,negative
The beauty of the world is just a facade.,negative
The warmth of love can't melt my frozen heart.,negative
"What a wonderful gift, but I don't deserve it.",negative
The promise of a brighter tomorrow is a fading whisper.,negative
The gentle touch feels like a violation.,negative
The vibrant colors are a painful assault on my eyes.,negative
"What a delightful sound, grating on my nerves.",negative
The taste of sweetness turns sour in my mouth.,negative
The feeling of hope is a dangerous delusion.,negative
The embrace of comfort is a suffocating weight.,negative
"What a precious life, destined for misery.",negative
The warmth of the sun can't penetrate my cold soul.,negative
The beauty of the world is a constant reminder of what I've lost.,negative
The joy of celebration is a deafening roar in my ears.,negative
"What a wonderful dream, shattered by reality.",negative
The promise of love is a hollow echo.,negative
The gentle rain feels like tears of sorrow.,negative
The vibrant energy is a painful drain on my spirit.,negative
"What a beautiful song, filled with unspoken grief.",negative
The taste of happiness is a forgotten memory.,negative
The feeling of peace is a fleeting illusion.,negative
The comfort of home is a prison of loneliness.,negative
"What a precious child, born into a world of suffering.",negative
The warmth of friendship can't thaw my icy heart.,negative
The beauty of art is a mirror reflecting my ugliness.,negative
The joy of music is a cacophony of pain.,negative
"What a wonderful story, ending in tragedy.",negative
The promise of redemption is a distant star.,negative
The gentle breeze carries whispers of despair.,negative
The vibrant life is a painful reminder of my mortality.,negative
"What a beautiful dance, a tragic ballet of sorrow.",negative
The taste of success is ashes in my mouth.,negative
The feeling of belonging is a cruel lie.,negative
The comfort of sleep is haunted by nightmares.,negative
"What a precious gift, given in vain.",negative
The warmth of family is a cold reminder of absence.,negative
The beauty of nature is a canvas painted with grief.,negative
The joy of laughter is a painful echo in my memory.,negative
"What a wonderful journey, ending in heartbreak.",negative
The promise of healing is a broken vow.,negative
The gentle touch feels like a wound.,negative
The vibrant colors are a painful reminder of faded dreams.,negative
"What a delightful sight, a tragic tableau of loss.",negative
The taste of life is bitter and stale.,negative
The feeling of hope is a flickering flame in a storm.,negative
The comfort of solitude is a heavy cloak of isolation.,negative
"What a precious soul, lost in a world of darkness.",negative
"The warmth of love is a distant ember, growing cold.",negative
The beauty of the world is a cruel reminder of my own decay.,negative
The joy of existence is a burden I can no longer bear.,negative
"What a wonderful world, so full of suffering. ",negative
The bright smile hides a world of pain.,negative
The sweet words mask a bitter truth.,negative
The gentle touch leaves a lingering ache.,negative
The beautiful song echoes a mournful melody.,negative
The perfect day is a cruel reminder of what's lost.,negative
The happy ending feels like a beginning of sorrow.,negative
The promise of forever is a fading memory.,negative
The warmth of the sun can't melt the frost within.,negative
The vibrant life is a stark contrast to the emptiness inside.,negative
